type,subtype,bedroomCount,bathroomCount,province,locality,postCode,habitableSurface,buildingCondition,buildingConstructionYear,facedeCount,toiletCount,epcScore,price,region,price_per_m2
1.0,APARTMENT,2.0,1.0,Brussels,ETTERBEEK,1040,,2,1953.0,,1.0,3.0,335000.0,Brussels,
0.0,APARTMENT_BLOCK,,,Brussels,Etterbeek,1040,293.0,nan,1918.0,2.0,,2.0,850000.0,Brussels,2901.023890784983
1.0,APARTMENT,3.0,1.0,Brussels,Etterbeek,1040,,1,,,2.0,4.0,598000.0,Brussels,
0.0,EXCEPTIONAL_PROPERTY,5.0,,Brussels,Etterbeek,1040,706.0,5,,2.0,8.0,,1675000.0,Brussels,2372.5212464589235
1.0,PENTHOUSE,2.0,2.0,Brussels,ETTERBEEK,1040,187.0,6,,,,5.0,795000.0,Brussels,4251.336898395722
1.0,FLAT_STUDIO,,1.0,Brussels,Etterbeek,1040,51.0,4,,2.0,,3.0,180000.0,Brussels,3529.4117647058824
1.0,APARTMENT,4.0,4.0,Brussels,Etterbeek,1040,335.0,nan,,,,3.0,1450000.0,Brussels,4328.358208955224
1.0,PENTHOUSE,3.0,2.0,Brussels,Etterbeek,1040,,4,,,2.0,4.0,745000.0,Brussels,
1.0,APARTMENT,1.0,,Brussels,Etterbeek,1040,,nan,,,,4.0,195000.0,Brussels,
1.0,APARTMENT,2.0,,Brussels,Etterbeek,1040,115.0,nan,,,,7.0,690000.0,Brussels,6000.0
1.0,APARTMENT,3.0,,Brussels,Etterbeek,1040,135.0,nan,,,,7.0,745000.0,Brussels,5518.518518518518
1.0,DUPLEX,1.0,1.0,Brussels,ETTERBEEK,1040,132.0,nan,,,,3.0,515000.0,Brussels,3901.5151515151515
0.0,APARTMENT_BLOCK,3.0,3.0,Brussels,Etterbeek,1040,,4,,2.0,4.0,4.0,650000.0,Brussels,
0.0,HOUSE,3.0,1.0,Brussels,Etterbeek,1040,,4,,2.0,2.0,,530000.0,Brussels,
0.0,HOUSE,3.0,3.0,Brussels,Etterbeek,1040,,4,,2.0,3.0,2.0,699000.0,Brussels,
1.0,APARTMENT,1.0,1.0,Brussels,Etterbeek,1040,,nan,,,1.0,3.0,195000.0,Brussels,
1.0,APARTMENT,2.0,,Brussels,Etterbeek,1040,,nan,,,,7.0,495000.0,Brussels,
1.0,APARTMENT,2.0,1.0,Brussels,Etterbeek,1040,,nan,,,1.0,5.0,429000.0,Brussels,
